2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(lufingen.ch): provider=ms365 confidence=0.98 rule=mx_spf signals=13
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1788/2110] lufingen.ch: provider=ms365 confidence=0.98 signals=13
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(zeneggen.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=18
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1789/2110] zeneggen.ch: provider=ms365 confidence=1.00 signals=18
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(allmendingen.ch): provider=ms365 confidence=0.98 rule=mx_spf signals=13
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1790/2110] allmendingen.ch: provider=ms365 confidence=0.98 signals=13
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(visperterminen.ch): provider=ms365 confidence=0.74 rule=spf_gw signals=7
