2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(vorchdorf.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1001/2092] vorchdorf.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(scharnstein.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1002/2092] scharnstein.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(traunkirchen.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1003/2092] traunkirchen.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(eschenau.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1004/2092] eschenau.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(gallspach.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1005/2092] gallspach.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(bad-schallerbach.at): provider=ms365 confidence=0.74 rule=spf_gw signals=5
